번호,서명,저자,발행자,발행년,청구기호,자료실
1806,"깊은 밤 필통 안에서. 4, 달빛문구의 비밀",히로시마 레이코 지음 ; 모타 그림 ; 고향옥 옮김,대원키즈,2024,아동 833.8-388,[해운대인문학]어린이자료실
1807,대저택의 수상한 침입자,민쩌미 원작 ; 배아이 지음 ; 라임스튜디오 그림,겜툰,2024,아동 813.8-3160-7=2,[해운대인문학]어린이자료실
1808,도서관 낙서 사건,천효정 지음 ; 호산 그림,비룡소,2024,아동 813.8-3842-1,[해운대인문학]어린이자료실
1809,"드래곤 마스터. 9, 아이스 드래곤의 냉기",윤자영 지음 ; 해마 그림,안녕로빈,2024,아동 443.1-49-2,[해운대인문학]어린이자료실
1810,딱! 맞게 내 마음을 전하는 말하기 마법,한유진 지음 ; 김고은 그림,나무의말,2024,유아 813.8-3132,[해운대인문학]유아자료실
1811,똑똑하게 내 마음을 말하는 법,김강현 지음 ; 김기수 그림,서울문화사,2024,아동 980.24-24-4,[해운대인문학]어린이자료실
1812,"똥볶이 할멈. 6, 학교 앞은 우리가 지킨다!",무한의 계단 원작 ; 최재훈 지음 ; 김기수 그림,서울문화사,2024,아동 410-150-3,[해운대인문학]어린이자료실
1813,뚱뚱한 기분,박혜원 지음 ; 방현일 그림,바람의아이들,2024,아동 813.8-3843,[해운대인문학]어린이자료실
1814,마음마트,신은영 지음 ; 이은지 그림,아이음북스,2024,아동 813.8-3474-13,[해운대인문학]어린이자료실
1815,만나러 왔어,김진형 지음 ; 근홍 그림,리틀씨앤톡,2024,아동 808.3-647-40,[해운대인문학]어린이자료실
1816,맘대로 피구 규칙,주미경 지음 ; 오이트 그림,키다리,2024,아동 813.8-3844,[해운대인문학]어린이자료실
1817,"무한의 계단 세계여행 Go. 2, 프랑스","김우수,정은경 지음 ; 박현주 그림",길벗스쿨,2024,아동 813.8-3247-4,[해운대인문학]어린이자료실
1818,"무한의 계단 수학여행. 1, 비지니스맨과 돌멩이의 비밀",조영욱 지음 ; 배민호 그림,베틀북,2024,아동 813.8-3845,[해운대인문학]어린이자료실
1819,"무한의 계단 캡슐 히어로. 1, 위험한 놀이공원",고양이와 스프 원작 ; 히요 지음 ; 루체 그림,다산어린이,2024,아동 813.8-3418-2=2,[해운대인문학]어린이자료실
1820,민쩌미. 4,김영주 지음 ; 밤코 그림,위즈덤하우스,2024,아동 813.8-3770-2=2,[해운대인문학]어린이자료실
1821,"(발명코믹북) 무한의 계단. 4, 역전의 명수",황석영 지음 ; 최명미 그림,아이휴먼,2024,아동 388.111-8-21,[해운대인문학]어린이자료실
1822,밤티 마을 영미네 집,황도순 지음 ; 김잔디 그림,찰리북,2024,아동 443.1-50,[해운대인문학]어린이자료실
1823,밤티 마을 큰돌이네 집,김도경 지음 ; 신기영 그림,한그루,2024,아동 813.8-3846,[해운대인문학]어린이자료실
